ID	Fecha	Ubicación(es)	Hora de Ocurrencia	Precisión Temporal	Características de la Tormenta	Fuente(s) Verificadas	Observaciones Clave / Cronología
1	2000-01-01	Aeropuerto El Plumerillo (Norte de Mendoza)	22:45 - 23:20 UTC	Rango Horario	Precipitación muy intensa (66.1 mm en una hora).		La tormenta convectiva se registró en las últimas horas del día. Inició a las 22:45 UTC y alcanzó su máxima intensidad a las 23:20 UTC. Las fuentes académicas aclaran que el granizo se registró a 40 km al este del aeropuerto (SAME), no directamente sobre él.
2	2002-03-08	Puente de Hierro (Guaymallén)	N/D	No Disponible	N/D		La información proviene de un decreto provincial (N° 264 del 7 de marzo de 2002) que declara la emergencia agropecuaria. No se especifican detalles horarios del evento.
3	2005-02-16	Luján de Cuyo	Tarde	Período General	Viento, lluvia y granizo. 90 mm de precipitación en 25 minutos.		El artículo, publicado el 16 de febrero, se refiere al temporal ocurrido "el pasado lunes", que corresponde al 14 de febrero de 2005. No se especifica la hora exacta, solo que ocurrió durante el día. Destruyó 3,500 hectáreas de viñedos.
4	2006-02-12	Luján de Cuyo (Perdriel, Vistalba)	N/D	No Disponible	Llovió en dos horas casi la mitad del promedio anual.		La fuente es un módulo educativo que cita un titular de prensa. No se proporciona información horaria. Destruyó 4,000 hectáreas de viñedos.
5	2008-01-31	Ciudad de Mendoza	20:20 - 20:37 hs	Hora Específica	Leve granizada que duró pocos minutos.		La tormenta se descargó en la Capital cerca de las 20:20 hs y concluyó a las 20:37 hs.
6	2008-11-26	Maipú y Godoy Cruz	Cerca de las 14:00 hs	Hora Aproximada	"Super celda" de tormenta. Duró unos 10 minutos. Afectó también Luján y zona Este.		Las precipitaciones comenzaron cerca de las 14:00 hs y se extendieron por aproximadamente 10 minutos, causando destrozos en zonas urbanas y cultivos, especialmente en Coquimbito (Maipú).
7	2008-12-18	Las Heras, Godoy Cruz, Valle de Uco	18:20 hs	Hora Específica	Magnitud evaluada como "moderada o leve".		En la Ciudad de Mendoza (Capital), la granizada ocurrió a las 18:20 hs. La tormenta mostró la formación de cinco núcleos graniceros que se desplazaron de sur a noreste.
8	2009-01-11	Maipú y zona Este	N/D	No Disponible	Afectó áreas productivas.		Las fuentes mencionan que las tormentas afectaron la zona Este durante enero, pero no proporcionan una hora específica para el evento del día 11.
9	2010-09-28	Luján (Perdriel, M. Drummond, Ugarteche, Anchoris), Maipú (Rodeo del Medio)	Mediodía	Hora Aproximada	Piedras pequeñas, sin daños reportados.		La caída de granizo se registró al mediodía. A pesar de la inestabilidad climática, la piedra fue de pequeño tamaño y no produjo daños.
10	2010-11-26	Guaymallén, Las Heras	N/D	No Disponible	N/D		No se encontró información adicional sobre este evento en las fuentes proporcionadas.
