fecha,ubicacion,fuente,estacion_asignada
2000-01-01,"Aeropuerto El Plumerillo (Norte de Mendoza)",researchgate.net,"MENDOZA AERO, AR"
2002-03-08,"Puente de Hierro (Guaymallén)",argentina.gob.ar,"MENDOZA AERO, AR"
2005-02-16,"Luján de Cuyo",eluniverso.com,"MENDOZA AERO, AR"
2006-02-12,"Luján de Cuyo (Perdriel, Vistalba)",Diario Los Andes,"MENDOZA AERO, AR"
2008-01-31,"Ciudad de Mendoza",mdzol.com,"MENDOZA AERO, AR"
2008-11-26,"Maipú y Godoy Cruz",Diario UNO,"MENDOZA AERO, AR"
2008-12-18,"Las Heras, Godoy Cruz, Valle de Uco",mdzol.com,"MENDOZA AERO, AR"
2009-01-11,"Maipú y zona Este",mdzol.com,"MENDOZA AERO, AR"
2010-09-28,"Luján (Perdriel, M. Drummond, Ugarteche, Anchoris), Maipú (Rodeo del Medio)",portalfruticola.com,"MENDOZA AERO, AR"
2010-11-26,"Guaymallén, Las Heras",mdzol.com,"MENDOZA AERO, AR"
2010-12-06,"Ciudad, Guaymallén, Las Heras",diariouno.com.ar,"MENDOZA AERO, AR"
2011-02-23,"Godoy Cruz, Guaymallén",noqueremosinundarnos.blogspot.com,"MENDOZA AERO, AR"
2011-11-20,"Ciudad de Mendoza (Cuarta Secc.), Las Heras",mdzol.com,"MENDOZA AERO, AR"
2012-10-29,"San Rafael",Informe DACC,"MENDOZA AERO, AR"
2012-11-16,"Guaymallén (San José, Dorrego), Capital, Las Heras, Maipú (Luzuriaga)",mdzol.com,"MENDOZA AERO, AR"
2013-02-09,"Godoy Cruz, Ciudad, Guaymallén, Maipú, Las Heras",mdzol.com,"MENDOZA AERO, AR"
2013-12-08,"Mendoza (centro y noreste)",mdzol.com,"MENDOZA AERO, AR"
2014-10-26,"Luján de Cuyo",mdzol.com,"MENDOZA AERO, AR"
2014-12-09,"Tupungato (Villa Bastías, El Peral, La Arboleda)",mendozapost.com,"MENDOZA AERO, AR"
2014-12-16,"Maipú, Godoy Cruz, Ciudad",mdzol.com,"MENDOZA AERO, AR"
2015-09-08,"Godoy Cruz, Guaymallén, Maipú",losandes.com.ar,"MENDOZA AERO, AR"
2015-09-25,"Tupungato, Junín, San Martín, Rivadavia",infobae.com,"MENDOZA AERO, AR"
2016-03-01,"Gran Mendoza (excepto Luján), Sur de Mendoza",mendoza.gov.ar,"MENDOZA AERO, AR"
2017-04-04,"San Carlos, Maipú, Godoy Cruz, Guaymallén",losandes.com.ar,"MENDOZA AERO, AR"
2017-04-05,"Gran Mendoza, Valle de Uco, zona Este",infobae.com,"MENDOZA AERO, AR"
2018-02-16,"Tunuyán, Luján de Cuyo (Ugarteche, Perdriel)",mendovoz.com,"MENDOZA AERO, AR"
2018-11-12,"General Alvear, Gran Mendoza (Las Heras, Guaymallén, Ciudad)",mendozapost.com,"MENDOZA AERO, AR"
2018-11-22,"Gran Mendoza",Fuente académica,"MENDOZA AERO, AR"
2019-11-13,"Godoy Cruz",mdzol.com,"MENDOZA AERO, AR"
2019-11-21,"Capital provincial, Sur de Mendoza",mendovoz.com,"MENDOZA AERO, AR"
