fecha,ubicacion,estacion_asignada,hora_aprox
2024-12-31,"Luján de Cuyo (Vistalba, Mayor Drummond)","MENDOZA AERO, AR",17:00
2024-12-18,"San Martín, Junín, Rivadavia","SAN MARTIN, AR",22:00
2024-12-17,"General Alvear, San Rafael, Zona Este","SAN RAFAEL, AR",16:00
2024-11-20,"Valle de Uco (San Carlos), Zona Este","SAN MARTIN, AR",20:00
2024-11-01,"San Rafael (Sur y Este, M. Comán, C. Seca, El Nihuil, V. Grande, V. Atuel, Las Malvinas, C. Nacional, J. Prats, La Llave, Real del Padre, La Guevarina, S. de las Rosas, Goudge)","SAN RAFAEL, AR",16:00
2024-08-22,San Rafael,"SAN RAFAEL, AR",18:00
2024-02-28,"Maipú, Lavalle, Gran Mendoza","MENDOZA AERO, AR",18:00
2024-02-25,Gran Mendoza,"MENDOZA AERO, AR",21:00
2024-02-09,Ciudad de Malargüe,"MALARGUE, AR",17:00
2024-01-21,"San Rafael (Las Paredes, El Cerrito, C. Benegas, Rama Caída, El Juncalito, Soitue Sur, T. Angrimán), Gral. Alvear (Carmensa)","SAN RAFAEL, AR",10:00
2024-01-11,"San Rafael (Ciudad, Las Paredes, etc.), Gral. Alvear","SAN RAFAEL, AR",20:00
2023-12-08,"Gran Mendoza, Valle de Uco, zona Este, General Alvear, San Rafael","MENDOZA AERO, AR",21:00
2023-11-28,"Rivadavia (de Reducción a La Central), San Martín","SAN MARTIN, AR",19:00
2023-03-15,Gran Mendoza,"MENDOZA AERO, AR",21:00
2023-03-08,"San Martín (Alto Verde), Junín (A. Grande, Philips), Rivadavia (S. M. de Oro, Los Campamentos)","SAN MARTIN, AR",23:30
2023-01-27,"San Martín (Palmira), Guaymallén, Maipú","SAN MARTIN, AR",23:00
2022-12-23,"San Martín (centro), Junín (La Colonia)","SAN MARTIN, AR",16:30
2022-09-18,Ciudad de Malargüe,"MALARGUE, AR",0:30
2022-02-23,Gran Mendoza (especialmente Guaymallén),"MENDOZA AERO, AR",18:00
2022-02-04,San Rafael (Rama Caída),"SAN RAFAEL, AR",17:00
2022-01-25,Rivadavia (Los Campamentos),"SAN MARTIN, AR",17:30
2022-01-25,"Luján de Cuyo, Godoy Cruz, Ciudad de Mendoza","MENDOZA AERO, AR",17:30
2021-12-16,"Junín, Las Heras, Rivadavia, San Rafael, Santa Rosa, Tupungato, Lavalle, San Martín","SAN MARTIN, AR",19:00
2021-12-07,San Rafael,"SAN RAFAEL, AR",22:00
2021-11-10,Ruta Nacional 40 (El Sosneado - Pareditas),"SAN RAFAEL, AR",18:30
2021-04-20,San Rafael,"SAN RAFAEL, AR",Tarde
2021-04-02,"Ruta 40 (El Chihuido – Bardas Blancas), Zona de El Atuel","MALARGUE, AR",18:00
2021-02-17,"San Rafael (Cuesta de Los Terneros, El Nihuil, Cañón del Atuel, Valle Grande)","SAN RAFAEL, AR",18:00
2021-02-16,Noreste urbano de Malargüe,"MALARGUE, AR",10:00
2021-02-15,Ruta Nacional 40 (Pareditas - El Sosneado),"MALARGUE, AR",22:00
2021-01-13,Ingreso norte de Malargüe (Ruta 40),"MALARGUE, AR",17:30
2020-11-12,"Gran Mendoza (Godoy Cruz, Luján, Las Heras, Ciudad, Guaymallén, Maipú)","MENDOZA AERO, AR",15:30
2020-02-08,General Alvear (San Pedro del Atuel),"SAN RAFAEL, AR",23:00
2020-02-03,"Ciudad de Malargüe, Colonia Pehuenche","MALARGUE, AR",22:00
2020-01-29,San Rafael,"SAN RAFAEL, AR",18:00
2020-01-02,"Las Chacras, El Chihuido Chico","MALARGUE, AR",17:30
2019-12-29,El Sosneado,"SAN RAFAEL, AR",22:00
2019-11-21,"Capital provincial, Sur de Mendoza","MENDOZA AERO, AR",18:00
2019-11-13,Godoy Cruz,"MENDOZA AERO, AR",9:00
2019-03-31,San Rafael,"SAN RAFAEL, AR",17:30
2019-01-01,General Alvear (Bowen),"SAN RAFAEL, AR",3:30
2018-12-29,San Rafael,"SAN RAFAEL, AR",Tarde (desde las 16:00 hs)
2018-12-19,San Martín (departamento),"SAN MARTIN, AR",21:30
2018-12-17,"Junín (Medrano), Rivadavia (Medrano)","SAN MARTIN, AR",19
2018-11-26,"General Alvear, San Rafael","SAN RAFAEL, AR",17:00
2018-11-25,La Paz,"SAN MARTIN, AR",20:00
2018-11-12,"General Alvear, Gran Mendoza (Las Heras, Guaymallén, Ciudad)","MENDOZA AERO, AR",18:00
2018-11-04,San Rafael,"SAN RAFAEL, AR",Tarde
2018-02-16,"Tunuyán, Luján de Cuyo (Ugarteche, Perdriel)","MENDOZA AERO, AR",20:00
2017-04-04,"Gran Mendoza, Valle de Uco, zona Este","MENDOZA AERO, AR",17:00
2017-04-04,"San Carlos, Maipú, Godoy Cruz, Guaymallén","MENDOZA AERO, AR",17:00
2017-03-27,Sur de la ciudad de Malargüe,"MALARGUE, AR",Tarde
2017-03-26,Santa Rosa,"SAN MARTIN, AR",Tarde
2017-03-25,San Rafael,"SAN RAFAEL, AR",Tarde-Noche
2017-02-02,Ingreso a Malargüe (El Sosneado),"MALARGUE, AR",Tarde
