date,om_weather_code,om_temperature_2m_max,om_temperature_2m_min,om_apparent_temperature_mean,om_precipitation_sum,om_rain_sum,om_snowfall_sum,om_precipitation_hours,om_wind_gusts_10m_max,om_wind_direction_10m_dominant,om_shortwave_radiation_sum,om_et0_fao_evapotranspiration,om_dew_point_2m_mean,om_relative_humidity_2m_mean,om_pressure_msl_mean,station_name,latitude,longitude
2000-01-01 03:00:00,55.0,24.939999,11.190001,18.040997,1.6000001,1.6000001,0.0,4.0,34.92,217.95932,27.46,5.370969,10.142082,63.186707,1010.94586,"MALARGUE, AR",-35.48,-69.58
2000-01-02 03:00:00,53.0,23.64,10.59,16.96768,0.8,0.8,0.0,2.0,34.2,327.63907,29.82,5.576764,10.317083,65.937706,1011.4666,"MALARGUE, AR",-35.48,-69.58
2000-01-03 03:00:00,61.0,23.49,10.04,16.234562,4.0,4.0,0.0,6.0,29.88,127.30416,26.26,4.9509044,8.635833,61.850185,1011.10834,"MALARGUE, AR",-35.48,-69.58
2000-01-04 03:00:00,2.0,26.34,10.34,17.158356,0.0,0.0,0.0,0.0,33.12,199.26538,31.92,6.20774,6.3858333,51.514492,1009.44995,"MALARGUE, AR",-35.48,-69.58
2000-01-05 03:00:00,51.0,23.689999,9.29,15.399056,0.3,0.3,0.0,3.0,49.32,23.77689,28.36,5.476084,8.685832,60.012115,1010.88324,"MALARGUE, AR",-35.48,-69.58
2000-01-06 03:00:00,51.0,26.84,10.84,17.745562,0.3,0.3,0.0,2.0,39.239998,277.63318,32.99,6.582263,5.8629165,49.230556,1011.2,"MALARGUE, AR",-35.48,-69.58
2000-01-07 03:00:00,51.0,25.59,9.740001,15.670566,0.5,0.5,0.0,3.0,39.239998,287.74472,32.07,6.41635,3.873333,44.801434,1010.57916,"MALARGUE, AR",-35.48,-69.58
2000-01-08 03:00:00,51.0,18.89,8.09,12.692944,1.1,1.1,0.0,5.0,39.6,8.611493,27.48,4.610635,6.99,61.930614,1013.5334,"MALARGUE, AR",-35.48,-69.58
2000-01-09 03:00:00,53.0,20.14,11.29,15.221171,1.1,1.1,0.0,2.0,31.68,347.108,23.7,4.1342287,10.687916,72.79157,1013.32086,"MALARGUE, AR",-35.48,-69.58
2000-01-10 03:00:00,1.0,23.939999,10.490001,17.115232,0.0,0.0,0.0,0.0,39.239998,17.539015,29.82,5.743693,9.685833,59.236675,1010.66656,"MALARGUE, AR",-35.48,-69.58
2000-01-11 03:00:00,51.0,27.289999,11.04,18.11318,0.2,0.2,0.0,1.0,38.88,287.10275,32.27,6.694116,5.8816667,45.39513,1007.825,"MALARGUE, AR",-35.48,-69.58
2000-01-12 03:00:00,51.0,27.039999,11.690001,16.944874,0.2,0.2,0.0,1.0,47.519997,249.42085,33.15,7.297216,4.725416,44.10414,1007.4041,"MALARGUE, AR",-35.48,-69.58
2000-01-13 03:00:00,51.0,20.189999,11.59,15.169982,0.70000005,0.70000005,0.0,3.0,41.039997,5.516393,26.22,4.624178,9.19,62.111973,1010.2041,"MALARGUE, AR",-35.48,-69.58
2000-01-14 03:00:00,51.0,21.539999,12.09,16.048414,0.6,0.6,0.0,3.0,33.48,331.46494,29.53,5.1218405,10.00875,65.85783,1009.0959,"MALARGUE, AR",-35.48,-69.58
2000-01-15 03:00:00,51.0,22.39,11.54,16.455938,0.8,0.8,0.0,4.0,32.039997,25.32207,27.33,5.2208614,7.6129155,54.447186,1006.62915,"MALARGUE, AR",-35.48,-69.58
2000-01-16 03:00:00,51.0,22.289999,9.490001,13.6134,0.1,0.1,0.0,1.0,36.36,7.0207148,28.11,5.4975142,4.99,51.898457,1007.96246,"MALARGUE, AR",-35.48,-69.58
2000-01-17 03:00:00,2.0,19.689999,11.54,13.227534,0.0,0.0,0.0,0.0,45.36,19.850487,27.02,4.570277,9.04625,68.33964,1014.9917,"MALARGUE, AR",-35.48,-69.58
2000-01-18 03:00:00,1.0,28.24,10.440001,19.01998,0.0,0.0,0.0,0.0,29.16,27.594145,32.68,6.730564,8.142083,50.180943,1014.74994,"MALARGUE, AR",-35.48,-69.58
2000-01-19 03:00:00,0.0,30.89,12.39,20.840029,0.0,0.0,0.0,0.0,31.68,3.154746,32.72,7.069001,6.5129166,40.756695,1009.97504,"MALARGUE, AR",-35.48,-69.58
