date,om_weather_code,om_temperature_2m_max,om_temperature_2m_min,om_apparent_temperature_mean,om_precipitation_sum,om_rain_sum,om_snowfall_sum,om_precipitation_hours,om_wind_gusts_10m_max,om_wind_direction_10m_dominant,om_shortwave_radiation_sum,om_et0_fao_evapotranspiration,om_dew_point_2m_mean,om_relative_humidity_2m_mean,om_pressure_msl_mean,station_name,latitude,longitude
2000-01-01 03:00:00,61.0,26.667501,15.8175,24.009987,1.6,1.6,0.0,1.0,23.759998,10.304779,28.25,5.4238544,16.552917,73.38163,1010.19995,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-02 03:00:00,51.0,26.417501,16.167501,24.068575,0.2,0.2,0.0,1.0,24.119999,41.98702,29.44,5.736221,16.148746,70.3597,1010.2292,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-03 03:00:00,61.0,24.3675,16.9675,21.53727,8.1,8.1,0.0,8.0,20.519999,159.86362,19.98,3.7780395,15.994583,78.389275,1010.57495,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-04 03:00:00,2.0,27.2675,14.4175,22.500076,0.0,0.0,0.0,0.0,27.0,8.806673,31.88,6.212411,13.934166,65.079216,1009.1958,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-05 03:00:00,51.0,28.4675,16.8675,23.890268,0.3,0.3,0.0,2.0,33.12,8.009057,26.9,5.7068686,14.636249,61.392567,1008.9041,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-06 03:00:00,53.0,28.3675,18.2175,24.626852,1.1,1.1,0.0,2.0,29.16,283.39246,28.31,5.805658,16.446667,67.77538,1009.31665,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-07 03:00:00,51.0,26.667501,17.667501,23.816107,0.4,0.4,0.0,3.0,28.08,271.77878,26.11,5.1997976,16.2925,70.54862,1009.20416,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-08 03:00:00,51.0,23.7675,16.1175,20.125586,0.1,0.1,0.0,1.0,29.88,173.70192,15.77,3.23021,14.709167,73.23939,1012.0708,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-09 03:00:00,51.0,24.567501,17.4675,21.130743,0.8,0.8,0.0,3.0,25.56,258.3103,17.87,3.559693,15.829999,76.16946,1011.8167,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-10 03:00:00,3.0,26.317501,17.667501,23.890228,0.0,0.0,0.0,0.0,23.759998,352.6945,26.27,5.1448517,16.51958,71.73731,1009.7043,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-11 03:00:00,51.0,27.2175,18.2175,25.06458,0.70000005,0.70000005,0.0,3.0,29.16,202.39464,25.35,5.1010857,17.415415,71.612526,1006.6375,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-12 03:00:00,53.0,27.4675,18.0175,24.521208,3.7000003,3.7000003,0.0,10.0,30.599998,241.82811,27.63,5.6602664,16.355001,67.65465,1006.304,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-13 03:00:00,55.0,24.1175,17.7175,21.22694,4.5,4.5,0.0,11.0,41.039997,199.36792,16.38,3.5799212,15.032083,70.11473,1008.825,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-14 03:00:00,51.0,25.8675,17.7675,23.161459,0.6,0.6,0.0,2.0,34.92,209.12395,28.5,5.6205506,15.363334,67.61098,1007.05005,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-15 03:00:00,61.0,23.567501,18.417501,21.968561,9.7,9.7,0.0,9.0,24.48,169.67911,15.97,3.0559566,17.261248,82.96815,1005.23755,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-16 03:00:00,63.0,19.817501,16.167501,18.218428,11.8,11.8,0.0,13.0,30.960001,194.8214,12.72,2.33327,14.923749,82.62174,1007.8416,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-17 03:00:00,51.0,24.667501,15.117499,19.786451,0.70000005,0.70000005,0.0,2.0,23.759998,300.65057,22.71,4.4617496,12.859168,69.07264,1014.4876,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-18 03:00:00,0.0,28.0175,15.1675,23.532509,0.0,0.0,0.0,0.0,24.119999,20.687704,31.35,6.2426333,14.594583,63.147617,1014.2459,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-19 03:00:00,1.0,30.167501,18.8675,27.302172,0.0,0.0,0.0,0.0,22.319998,31.920837,31.17,6.424385,16.777918,61.408676,1009.3208,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-20 03:00:00,3.0,28.7175,19.4675,27.657148,0.0,0.0,0.0,0.0,40.68,167.09258,24.71,4.9887924,18.577917,67.4168,1004.30005,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-21 03:00:00,63.0,23.667501,17.4675,20.677164,13.200001,13.200001,0.0,8.0,44.28,179.6669,20.14,4.2549214,13.834167,65.381325,1008.9792,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-22 03:00:00,1.0,24.667501,14.4675,19.020285,0.0,0.0,0.0,0.0,27.359999,355.63177,31.85,6.0852656,8.509167,51.76179,1013.7583,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-23 03:00:00,2.0,26.3675,14.0175,21.445557,0.0,0.0,0.0,0.0,19.44,190.85,28.96,5.6596646,11.696667,57.16566,1010.36255,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-24 03:00:00,63.0,24.4675,15.9675,19.63408,8.499999,8.499999,0.0,9.0,40.68,216.70293,16.55,3.6729646,13.575831,67.35706,1014.36676,"MENDOZA AERO, AR",-32.83,-68.78
2000-01-25 03:00:00,2.0,26.4675,16.817501,22.434763,0.0,0.0,0.0,0.0,30.239998,17.241573,21.39,4.160212,15.740415,71.71595,1012.97516,"MENDOZA AERO, AR",-32.83,-68.78
