date,om_weather_code,om_temperature_2m_max,om_temperature_2m_min,om_apparent_temperature_mean,om_precipitation_sum,om_rain_sum,om_snowfall_sum,om_precipitation_hours,om_wind_gusts_10m_max,om_wind_direction_10m_dominant,om_shortwave_radiation_sum,om_et0_fao_evapotranspiration,om_dew_point_2m_mean,om_relative_humidity_2m_mean,om_pressure_msl_mean,station_name,latitude,longitude
2000-01-01 03:00:00,51.0,27.896,17.996,24.821646,0.1,0.1,0.0,1.0,27.0,21.286467,28.25,5.5502496,16.756416,70.66091,1009.6458,"SAN MARTIN, AR",-33.08,-68.48
2000-01-02 03:00:00,53.0,28.096,16.946,24.751429,0.8,0.8,0.0,1.0,25.919998,80.39489,28.59,5.6955895,16.925167,71.919266,1009.80005,"SAN MARTIN, AR",-33.08,-68.48
2000-01-03 03:00:00,63.0,24.446,16.996,21.50054,15.800001,15.800001,0.0,11.0,30.599998,153.8137,18.72,3.6445315,16.50225,79.72414,1010.13336,"SAN MARTIN, AR",-33.08,-68.48
2000-01-04 03:00:00,3.0,28.246,15.796,23.501429,0.0,0.0,0.0,0.0,21.96,351.46933,31.74,6.3219566,14.454331,64.602516,1008.71674,"SAN MARTIN, AR",-33.08,-68.48
2000-01-05 03:00:00,2.0,30.146,18.096,25.298132,0.0,0.0,0.0,0.0,24.48,46.30781,27.22,6.0288343,14.760583,57.766068,1008.12506,"SAN MARTIN, AR",-33.08,-68.48
2000-01-06 03:00:00,2.0,30.346,19.446,25.12948,0.0,0.0,0.0,0.0,33.48,206.07106,28.02,6.282435,15.00225,57.9252,1008.43756,"SAN MARTIN, AR",-33.08,-68.48
2000-01-07 03:00:00,51.0,29.246,18.796,24.888998,0.2,0.2,0.0,2.0,30.599998,179.7476,25.79,5.6156416,15.343918,60.931255,1008.3709,"SAN MARTIN, AR",-33.08,-68.48
2000-01-08 03:00:00,53.0,25.046,16.896,20.290405,1.2,1.2,0.0,4.0,31.319998,163.42593,14.11,3.3356621,15.085584,71.55976,1011.42084,"SAN MARTIN, AR",-33.08,-68.48
2000-01-09 03:00:00,3.0,26.846,18.096,22.41577,0.0,0.0,0.0,0.0,24.48,207.34993,16.2,3.7732162,15.329334,67.82906,1011.12915,"SAN MARTIN, AR",-33.08,-68.48
2000-01-10 03:00:00,53.0,28.646,18.396,24.576506,0.7,0.7,0.0,2.0,25.919998,72.96706,24.26,5.277969,15.854336,64.22494,1009.05414,"SAN MARTIN, AR",-33.08,-68.48
2000-01-11 03:00:00,63.0,27.796,19.996,25.978844,7.6,7.6,0.0,8.0,40.32,160.43976,24.21,5.1485796,17.4835,66.45053,1005.8333,"SAN MARTIN, AR",-33.08,-68.48
2000-01-12 03:00:00,61.0,29.446,20.046,25.548922,6.2,6.2,0.0,8.0,33.12,201.13173,26.34,5.667568,16.725166,64.34637,1005.4707,"SAN MARTIN, AR",-33.08,-68.48
2000-01-13 03:00:00,63.0,26.546,18.046,21.981901,16.2,16.2,0.0,11.0,42.12,184.41472,15.34,3.5372684,15.731419,69.92856,1008.029,"SAN MARTIN, AR",-33.08,-68.48
2000-01-14 03:00:00,63.0,27.146,18.246,24.051529,6.1000004,6.1000004,0.0,8.0,34.2,181.99103,27.15,5.4888015,16.321,68.03121,1006.33344,"SAN MARTIN, AR",-33.08,-68.48
2000-01-15 03:00:00,55.0,25.796,19.046,23.234764,2.8999999,2.8999999,0.0,9.0,25.199999,165.47894,15.32,3.1544852,17.631418,78.988,1004.5667,"SAN MARTIN, AR",-33.08,-68.48
2000-01-16 03:00:00,53.0,23.146,17.096,19.166723,4.4,4.4,0.0,8.0,40.68,182.8757,11.56,2.8778794,14.133502,71.84947,1006.9543,"SAN MARTIN, AR",-33.08,-68.48
2000-01-17 03:00:00,2.0,26.246,16.346,20.712051,0.0,0.0,0.0,0.0,22.319998,236.6847,24.93,5.257839,11.641834,58.19412,1013.7043,"SAN MARTIN, AR",-33.08,-68.48
2000-01-18 03:00:00,0.0,29.996,16.196,24.516441,0.0,0.0,0.0,0.0,25.56,16.009285,30.95,6.437744,15.283501,64.03066,1013.6001,"SAN MARTIN, AR",-33.08,-68.48
2000-01-19 03:00:00,1.0,32.396,18.146,27.960691,0.0,0.0,0.0,0.0,23.039999,38.55381,31.04,6.709531,17.635584,63.9229,1008.72504,"SAN MARTIN, AR",-33.08,-68.48
2000-01-20 03:00:00,3.0,31.396,20.996,28.794302,0.0,0.0,0.0,0.0,42.12,135.29085,23.18,5.065666,19.158499,66.82616,1003.4958,"SAN MARTIN, AR",-33.08,-68.48
2000-01-21 03:00:00,51.0,25.246,18.396,19.569738,1.0,1.0,0.0,4.0,52.56,169.92047,16.72,4.745755,11.904331,56.428738,1008.0793,"SAN MARTIN, AR",-33.08,-68.48
